"ABS_GUID","EMAIL","LOGIN","FIRSTNAME","LASTNAME","ZIPCODE","PRIMARYPHONE","ABS_CLUB_CARD_NBR","ABS_LOYALTY_NBR","ABS_BANNER","ABS_REG_SRC_CD","ABS_HH_ID","ABS_STORE_ID","ABS_AA_NBR","ABS_AA_ENROLL_DT","ABS_AA_STATUS_CD","ABS_GM_ID","ABS_GM_ENROLL_DT","ABS_CREATE_TS"
"200-161-1507243055401","test.100@example.com","test.100@example.com","test","test","03060","8523698745",,48635082994,"shaws",2,990014543115,,"",,"","",,05-OCT-17 10.37.39.000000000 PM
"200-161-1507240228127","vijaykumar.kanadham@albertsons.com","vijaykumar.kanadham@albertsons.com","vijay kumar","Kanadham","93444","6145303551",,48635082993,"vons",1,990014543114,,"",,"","",,05-OCT-17 09.50.32.000000000 PM
"200-161-1507234058049","tester0002@example.com","tester0002@example.com","test","man","02199","9875686542",,48635082989,"starmarket",1,990014543111,,"",,"","",,05-OCT-17 08.07.42.000000000 PM
"200-160-1507230251514","tester090909@example.com","tester090909@example.com","adsfasdf","adsf","02026","6542389653",,48635082988,"starmarket",1,990014543110,,"",,"","",,05-OCT-17 07.04.15.000000000 PM
"200-161-1507230045249","tester0009@example.com","tester0009@example.com","asdf","asdf","02136","5421415242",,48635082987,"shaws",1,990014543109,,"",,"","",,05-OCT-17 07.00.51.000000000 PM
"200-161-1507208267558","thisisanamewithfiftycharacters45174884@example.com","thisisanamewithfiftycharacters45174884@example.com","John","Smith","02302","",48635026156,48635026156,"shaws",1,990014364109,,"",,"","",,05-OCT-17 12.57.47.000000000 PM
"200-161-1507208208608","20171005182630shaws@example.com","20171005182630shaws@example.com","Thisisafirstnamewiththirtychar","Smith","02302","",48635026156,48635026156,"shaws",1,990014364109,,"",,"","",,05-OCT-17 12.56.48.000000000 PM
"200-161-1507207530027","testauto_20171005181528@example.com","testauto_20171005181528@example.com","AutoJohn","AutoSmith","02302","",40000000384,40000000384,"safeway",1,290061857581,,"",,"","",,05-OCT-17 12.45.30.000000000 PM
"200-161-1507207497868","test_20171005181356@example.com","test_20171005181356@example.com","John","Smith","02302","",48635026156,48635026156,"shaws",1,990014364109,,"",,"","",,05-OCT-17 12.44.57.000000000 PM
"200-161-1507207413856","test_20171005181310@example.com","test_20171005181310@example.com","John","Smith","02302","",48635026156,48635026156,"shaws",1,990014364109,,"",,"","",,05-OCT-17 12.43.34.000000000 PM
"200-161-1507206690923","test_20171005175721@example.com","test_20171005175721@example.com","John","Smith","02302","",48635026156,48635026156,"shaws",1,990014364109,,"",,"","",,05-OCT-17 12.31.30.000000000 PM
